Manual 64 model disagreement / failure-mode report
generated_at=2026-06-01T20:10:43
source=manual_64_training_view.csv

columns=epic_id, manual_label, cnn_score, primary_depth_snr, odd_even_depth_ratio, oot_to_depth, candidate_period_count, alias_risk, fallback_period_flag, duration_fraction_of_period, failure_mode, autovet_v2_penalty

A. CNN high-confidence false positives
count=15
epic_id | manual_label | cnn_score | primary_depth_snr | odd_even_depth_ratio | oot_to_depth | candidate_period_count | alias_risk | fallback_period_flag | duration_fraction_of_period | failure_mode | autovet_v2_penalty
EPIC_211980250 | reject_as_noise_or_artifact | 0.798509 | 967.711 | 0.928 |  | 476 |  | true |  | useful_rejection_feature | 0.06
EPIC_211980366 | variable_or_possible_eb | 0.932988 | 4.64515 | 0.988 | 0.468 | 4537 |  | true |  | useful_rejection_feature | 0.2
EPIC_211990908 | reject_as_noise_or_artifact | 0.755372 | 20.8241 | 0.673 | 0.309 | 469 |  | true |  | useful_rejection_feature | 0.06
EPIC_211991001 | reject_as_noise_or_artifact | 0.84097 | 22.4521 | 0.764 |  | 0 | moderate | true | 0.50378 | useful_rejection_feature | 0.06
EPIC_211995966 | reject_as_noise_or_artifact | 0.878716 | 3.36636 | 0.952 |  | 3 | moderate | false |  | useful_rejection_feature | 0.18
EPIC_212007527 | reject_as_noise_or_artifact | 0.670286 | 52.4107 |  |  | 7655 |  | true |  | useful_rejection_feature | 0.06
EPIC_212009427 | variable_or_possible_eb | 0.854064 | 13.0927 | 0.975 |  | 3383 | moderate | true |  | useful_rejection_feature | 0.06
EPIC_212020442 | reject_as_noise_or_artifact | 0.896793 | 55.3006 | 0.815 |  | 0 | moderate | true |  | useful_rejection_feature | 0.06
EPIC_212025784 | reject_as_noise_or_artifact | 0.707795 | 167.93 | 0.913 | 0.718 | 1301 |  | true |  | useful_rejection_feature | 0.06

section_counts
A. CNN high-confidence false positives=15
B. CNN high-confidence holds=7
C. Low/moderate CNN positives=1
D. High-SNR false positives=24
E. Good odd/even false positives=13
F. EB/variable false positives=10
G. Noise/artifact signatures=49
H. Most useful rejection features=44
